매물이름,월세,전세,가격,소재지,특징,공급/전용면적
일반원룸4층,O,X,2000/50,서울시 관악구 봉천동 196-59,역4분 주차가능 전기만별도 편의시설多 풀옵션 깔끔한방,23.1㎡/23.1㎡(전용률100%)
일반원룸저층,O,X,1000/30,서울시 관악구 봉천동 206-3,낙성대 역세권 신축원룸 구경오세요,20㎡/16㎡(전용률80%)
일반원룸1층,X,O,5000,서울시 관악구 봉천동 148-36,낙성대역세권 깔끔한 풀옵션 원룸입니다,20㎡/16㎡(전용률80%)
일반원룸저층,O,X,1000/50,서울시 관악구 봉천동 1645-39,L낙성대역 도보권 가성비 극강 원룸,16.53㎡/16.53㎡(전용률100%)
일반원룸저층,O,X,500/45,서울시 관악구 봉천동 1615-13,L서울대입구역도보권 신축급 가성비 극강 원룸,16.53㎡/16.53㎡(전용률100%)
일반원룸3층,O,X,5000/10,서울시 관악구 봉천동 1607-4,L서울대입구역 도보권 가성비 극강 원룸,16.53㎡/16.53㎡(전용률100%)
일반원룸저층,O,X,2000/40,서울시 관악구 봉천동 1644-12,L낙성대역 도보권 가성비 극강 원룸,16.53㎡/16.53㎡(전용률100%)
일반원룸4층,O,X,3000/50,서울시 관악구 봉천동 1636-3,낙성대 역세권 시장가까운 위치좋은 원룸,17㎡/14㎡(전용률82%)
일반원룸2층,O,X,1000/40,서울시 관악구 봉천동 1680-28,낙성대역세권 평지 편의시설 가까운 안전한원룸,18㎡/16㎡(전용률89%)
일반원룸1층,O,X,5000/45,서울시 관악구 봉천동 50-80,신축 첫 입주 깔끔한 화이트톤 서울대입구역 10분,19.8㎡/19.8㎡(전용률100%)
일반원룸2층,X,O,9000,서울시 관악구 봉천동 662-119,저렴한 화이트톤 신축 풀옵션원룸 깔끔해요 채광좋아요 전세대출ok,21㎡/18㎡(전용률86%)
일반원룸고층,X,O,1억,서울시 관악구 봉천동 871-17,서울대입구역 초역세권 대출가능한 신축급 환한 방,23.1㎡/23.1㎡(전용률100%)
일반원룸4층,O,X,1000/35,서울시 관악구 봉천동 1667-12,역3분 관리잘되는 건물 편의시설多 엘베有 풀옵션 깔끔,19.8㎡/19.8㎡(전용률100%)
일반원룸3층,O,X,500/50,서울시 관악구 봉천동 100-265,편의시설多 주차가능 즉시입주가능 풀옵션 깔끔한방,23.1㎡/23.1㎡(전용률100%)
일반원룸1층,O,X,1000/40,서울시 관악구 봉천동 1689-18,낙성대 도보 4분거리 깔끔한 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸중층,O,X,500/40,서울시 관악구 봉천동 1688-91,낙성대 초역세권 깔끔한 원룸,18㎡/15㎡(전용률83%)
기타중층,O,X,4000/30,서울시 관악구 봉천동 1667-12,깔끔하고 혼자 지내기 좋은 원룸입니다,23.14㎡/19.83㎡(전용률86%)
일반원룸2층,O,X,1000/40,서울시 관악구 봉천동 1613-3,샤로수길 가성비원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸3층,O,X,500/50,서울시 관악구 봉천동 100-265,서울대입구역 도보 8분거리 깔끔한 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸저층,O,X,1000/45,서울시 관악구 봉천동 148-151,전세도 ok 진짜 넓고 가성비 좋은방,23.1㎡/23.1㎡(전용률100%)
일반원룸3층,O,X,500/50,서울시 관악구 봉천동 100-265,서울대입구역 도보10분가성비 갑혼자 살기 좋은 깔끔한 풀옿션 원,23.1㎡/19.8㎡(전용률86%)
일반원룸중층,X,O,1억 6000,서울시 관악구 봉천동 1644-20,보증금 조정 반전세 가능한 깔끔한 신축 원룸입니다,26.45㎡/23.14㎡(전용률87%)
일반원룸3층,O,X,1000/55,서울시 관악구 봉천동 1685-6,-,23.1㎡/23.1㎡(전용률100%)
일반원룸3층,O,X,1050/42,서울시 관악구 봉천동 1625-1,낙성대역 도보 5분거리 갓성비 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸7층,O,X,1000/50,서울시 관악구 봉천동 44-2,엘베有 .도보5분 채광굿 대출도 OK,23.1㎡/23.1㎡(전용률100%)
일반원룸3층,O,X,1000/45,서울시 관악구 봉천동 1677-20,낙성대 역세권 평지원룸 주인거주 안전한 코너건물,20㎡/16㎡(전용률80%)
오피스텔7층,O,X,1000/50,서울시 관악구 봉천동 44-2,서울대입구역 도보6분 혼자 살기 좋은 넓고 깔끔한 풀옵션 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸고층,X,O,1억 8000,서울시 관악구 봉천동 935-17,방금 지어진 초역세권 넓은 거실에 깔끔한 신축 원룸입니다,26.45㎡/23.14㎡(전용률87%)
일반원룸B1층,O,X,500/32,서울시 관악구 봉천동 886-16,서울대입구역 도보10분가성비 갑혼자 살기 좋은 깔끔한 풀옵션 원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸 1동1층,X,O,8000,서울시 관악구 봉천동 712-70,즉시입주신림선 당곡역3분 분리형원룸 전세8000대출가능,29㎡/26㎡(전용률90%)
일반원룸B1층,X,O,임대100/45,서울시 관악구 봉천동 148-52,낙성대역 원룸 단기 단기가능원룸,18㎡/16㎡(전용률89%)
일반원룸저층,O,X,5000/40,서울시 관악구 봉천동 935-17,방금 지어진 초역세권 넓은 거실에 깔끔한 신축 원룸입니다,23.14㎡/19.83㎡(전용률86%)
오피스텔2층,O,X,8000/20,서울시 관악구 봉천동 1564-1,-,24.4㎡/17.5㎡(전용률72%)
일반원룸2층,O,X,500/52,서울시 관악구 봉천동 196-14,내부 리모델링 완료 낙성대역 4분 깔끔한 인테리어,16.5㎡/16.5㎡(전용률100%)
일반원룸중층,O,X,1000/40,서울시 관악구 봉천동 1613-3,역에서 5분 서울대생들이 선택한 가성비 좋은집,23.1㎡/23.1㎡(전용률100%)
일반원룸3층,O,X,1억 2000/20,서울시 관악구 봉천동 1622-12,서울대입구역도보5분 신축 첫입주 전망좋고 깔끔한 풀옵션 원룸,26.4㎡/19.8㎡(전용률75%)
일반원룸B1층,O,X,500/32,서울시 관악구 봉천동 886-16,서울대입구역 도보 10분거리 가성비원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸3층,O,X,1000/50,서울시 관악구 봉천동 1648-17,-,23.1㎡/23.1㎡(전용률100%)
일반원룸 1동5층,X,O,1억 2000,서울시 관악구 봉천동 1538-8,분리형 원룸 대로변 파출소 동사무소 근처 봉천역 도보 7분거리 버스1분,20㎡/20㎡(전용률100%)
일반원룸1층,O,X,4000/45,서울시 관악구 봉천동 1526-32,봉천역 도보 5분거리 가성비원룸,23.1㎡/19.8㎡(전용률86%)
일반원룸2층,O,X,3000/35,서울시 관악구 봉천동 1691-16,-,23.1㎡/23.1㎡(전용률100%)
일반원룸2층,O,X,500/38,서울시 관악구 봉천동 1690-117,-,18㎡/15㎡(전용률83%)
일반원룸B1층,O,X,1억/30,서울시 관악구 봉천동 1615-5,무융자 중기청 100 가능한 준신축 투룸,45㎡/38㎡(전용률84%)
일반원룸3층,X,O,1억,서울시 관악구 봉천동 634-9,신축급 깨끗한 분리형원룸 봉천역도보권 전세자금대출가능,26.4㎡/19.8㎡(전용률75%)
일반원룸2층,O,X,500/40,서울시 관악구 봉천동 100-58,채광 좋은 지상층 준신축 원룸,19.8㎡/19.8㎡(전용률100%)
