매물이름,월세,전세,가격,소재지,특징,공급/전용면적
상가주택3층,O,X,1억 1000/45,서울시 서초구 양재동 313-10,역세권 엘에이치 가능,60㎡/50㎡(전용률83%)
빌라 삼성베스트빌 4층,X,O,3억 5000,서울시 서초구 양재동 379,신축급 깔끔 투룸과 거실 공원 가까운 쾌적한 곳 신혼부부 추천,35.33㎡/29.3㎡(전용률83%)
일반원룸 동명없음4층,O,X,3000/60,서울시 서초구 양재동 205-5,통원룸 즉시입주가능하며 넓은베란다있어요,34.7㎡/34.7㎡(전용률100%)
써밋파크 1동7층,O,X,1000/110,X,사업자가능 전호실보유 깨끗 전망굿,37.51㎡/19.06㎡(전용률51%)
써밋파크 1동8층,O,X,1000/110,X,깨끗 준신축 전망이쁨 전체보유,37.51㎡/19.06㎡(전용률51%)
써밋파크 1동9층,X,O,4억,X,준신축 깨끗 분리형 드레스룸,58.2㎡/29.96㎡(전용률51%)
다가구5층,X,O,3억 3000,서울시 서초구 양재동 244-3,역세권 공원뷰,50㎡/45㎡(전용률90%)
빌라3층,O,X,3억/15,서울시 서초구 양재동 123-4,신축급 깔끔한 투룸 대출가능,34.74㎡/26.84㎡(전용률77%)
빌라중층,X,O,3억 450,서울시 서초구 양재동 386-22,임대사업자 호실 컨디션 최상 대출 보증보험 가능,27.89㎡/21.2㎡(전용률76%)
써밋파크 1동9층,O,X,5000/100,X,주거용 양재역도보1분거리 풀옵션 신축1년차 자주식기계식유료주차,37.51㎡/19.06㎡(전용률51%)
빌라B1층,X,O,1억 7000,서울시 서초구 양재동 15-14,리모델링 깔끔한 빌라 애완동물 가능한 집,29.23㎡/22.23㎡(전용률76%)
써밋파크 1동7층,O,X,1000/110,X,준신축 풀옵션 양재역도보1분거리,37.51㎡/19.06㎡(전용률51%)
빌라6층,X,O,3억 5000,서울시 서초구 양재동 278-1,탑층 전망뷰 좋음 착한전세 빨리입주도가능함.,36.17㎡/29.97㎡(전용률83%)
써밋파크 1동8층,O,X,1000/110,X,입주일협의 풀옵션 신축1년차 자주식기계식유료주차,37.51㎡/19.06㎡(전용률51%)
써밋파크 1동7층,O,X,1000/110,X,뷰이쁨 고급디자인 양재1분 입주기간협의,37.51㎡/19.06㎡(전용률51%)
써밋파크 1동5층,X,O,임대150/150,X,집주인의뢰 풀옵션단기임대 3개월이상 협의가능,37.51㎡/19.06㎡(전용률51%)
써밋파크 1동11층,O,X,1000/105,X,신축옵션원룸. 양재초역세권. 적극 추천매물,37.51㎡/19.06㎡(전용률51%)
써밋파크 1동7층,O,X,1000/110,X,풀옵션 양재역도보1분거리 자주식기계식주차,37.51㎡/19.06㎡(전용률51%)
써밋파크 1동9층,X,O,4억,X,전입신고가능 보증보험가입가능 전세자금대출가능,58.2㎡/29.96㎡(전용률51%)
써밋파크 1동8층,O,X,1000/110,X,업무용 양재역 역세권 빠른입주가능,37.51㎡/19.06㎡(전용률51%)
써밋파크 1동8층,O,X,3000/100,X,양재1분 준신축 깨끗 햇빛잘듬,37.51㎡/19.06㎡(전용률51%)
다가구중층,O,X,1억/30,서울시 서초구 양재동 10-22,양재역 분리형 원룸 보증금 조정 가능 합니다,26㎡/24㎡(전용률92%)
빌라고층,X,O,4억,서울시 서초구 양재동 81-15,로얄층 전망최고 신축2년차 풀옵션 전세대출가능,43㎡/29.3㎡(전용률68%)
기타 새터빌라저층,X,O,1억 7000,서울시 서초구 양재동 15-14,양재역 도보6분 풀옵션 넓은 원룸,22.23㎡/22.23㎡(전용률100%)
빌라고층,X,O,3억 5000,서울시 서초구 양재동 65-1,보증금조정가능주차편리보증보험가입,33㎡/27.1㎡(전용률82%)
다가구2층,O,X,1억/65,서울시 서초구 양재동 384-5,버팀목외대출.1년전수리공간컨디션좋음2룸 1욕실,50㎡/45㎡(전용률90%)
다가구3층,X,O,2억 6000,서울시 서초구 양재동 2-13,신축급 원룸 풀옵션 테라스 승강기 깨끗하고 조용합니다,30㎡/23㎡(전용률77%)
일반원룸4층,O,X,9000/10,서울시 서초구 양재동 9-12,깨끗한 풀옵션 원룸 큰길가 보완 좋아요 안전해서 아가씨 강추 하시입주,19.8㎡/16.5㎡(전용률83%)
써밋파크 1동7층,X,O,임대200/155,X,단기임대 즉시입주가능 풀옵션 양재역도보1분거리,37.51㎡/19.06㎡(전용률51%)
빌라5층,O,X,1억/15,서울시 서초구 양재동 386-24,풀옵션 전세가능 1억3천만원,33.78㎡/26.45㎡(전용률78%)
빌라고층,X,O,3억 5000,서울시 서초구 양재동 278-1,-,36.17㎡/29.97㎡(전용률83%)
다가구 서융루3층,O,X,2000/110,서울시 서초구 양재동 95-14,양재천 까페거리 인근 신축 옵션형 원룸입니다,62㎡/32.73㎡(전용률53%)
빌라저층,X,O,1억 7000,서울시 서초구 양재동 15-14,애완둥물 가능한 넓고 깔끔한 원룸 대출 가능,29.23㎡/22.23㎡(전용률76%)
빌라 새터빌라B1층,X,O,1억 7000,서울시 서초구 양재동 15-14,양재역세권풀옵션원룸1.7억전세 작년고급올리모델링 전대가 융무 채광굿,29.23㎡/22.23㎡(전용률76%)
다가구2층,O,X,3000/60,서울시 서초구 양재동 9-21,사진O 양재역세권 넓은 오픈형 원룸 소개해드려요.,30㎡/30㎡(전용률100%)
빌라6층,X,O,3억 3000,서울시 서초구 양재동 402-2,양재동 신축 빌라 투룸 전세 인테리어 초깔끔,36.35㎡/25.81㎡(전용률71%)
써밋파크 1동고층,O,X,1000/110,X,보증금3천가능 빠른입주가능 양재역도보1분거리 풀옵션,37.51㎡/19.06㎡(전용률51%)
빌라저층,X,O,5억 1500,서울시 서초구 양재동 116-12,하이엔드 주거공간 THE HILLS 양재,36.03㎡/28.59㎡(전용률79%)
빌라B1층,X,O,1억 7000,서울시 서초구 양재동 15-14,V 고급올수리 된 양재역초역세권 전입 대출 가능 반려동물 가능,29.23㎡/22.23㎡(전용률76%)
